,element_type,osmid,geometry,name,amenity,landuse,shop
0,node,253283769,POINT (30.319641 59.8236932),Газпромнефть,fuel,,
1,node,291553157,POINT (30.3132049 59.9153967),Контакт Бар,bar,,
2,node,305809296,POINT (30.2437469 59.6820773),Газпромнефть,fuel,,
3,node,309764205,POINT (30.4581999 59.9155203),Радуга,pharmacy,,
4,node,311101154,POINT (30.2880157 59.9248514),У театра,pharmacy,,
5,node,311101157,POINT (30.2891334 59.9247731),Wonderful Taste,cafe,,
6,node,311101168,POINT (30.2883522 59.9245965),Витал,pharmacy,,
7,node,316234421,POINT (30.3103753 59.8524649),Авангард,bank,,
8,node,322665153,POINT (30.491876 59.8647781),Роснефть,fuel,,
9,node,331297939,POINT (30.1792749 59.6934373),Туутари-парк,cafe,,
10,node,344762356,POINT (30.3072928 59.8523519),Ленинградские булочные,,,bakery
11,node,392059029,POINT (30.3052363 59.930489),Адамант Медицинская Клиника,doctors,,
12,node,394493431,POINT (30.4318676 59.8349989),,,,car_repair
13,node,401627284,POINT (30.3754386 59.9136572),Динер холл,cafe,,
14,node,401627386,POINT (30.3768121 59.9140758),Амилен,cafe,,
15,node,411259721,POINT (30.3209147 59.8760945),ВТБ,bank,,
16,node,414011338,POINT (30.3631958 59.9385941),The Templet Bar,pub,,
17,node,414689525,POINT (30.3238878 59.9273912),Bier König,pub,,
18,node,427092068,POINT (30.4755116 59.9397604),Васаби,cafe,,
19,node,427101772,POINT (30.4792091 59.9438655),Пури,restaurant,,
20,node,427144772,POINT (30.4592033 59.9219213),Авангард,bank,,
21,node,427530225,POINT (30.4578285 59.9223035),Сбербанк,bank,,
22,node,428882376,POINT (30.4836375 59.9368426),Пятёрочка,,,supermarket
23,node,428882377,POINT (30.4755822 59.9400724),Сбербанк,bank,,
24,node,428882379,POINT (30.4775021 59.9388014),Озерки,pharmacy,,
25,node,428942365,POINT (30.4753499 59.9393014),Пятёрочка,,,supermarket
26,node,428942366,POINT (30.4784615 59.9424713),Детская библиотека Кит,library,,
27,node,428970814,POINT (30.4741692 59.9433672),FOSP,,,clothes
28,node,429923619,POINT (30.4891133 59.9365111),Пятёрочка,,,supermarket
29,node,430535263,POINT (30.4741153 59.9477852),Сбербанк,bank,,
30,node,431100875,POINT (30.4925689 59.8963785),,cafe,,
31,node,431100880,POINT (30.4925224 59.8961396),,,,car_repair
32,node,431100882,POINT (30.4925451 59.8962563),Автомойка,car_wash,,
33,node,436839390,POINT (30.5317272 59.8300898),ПТК,fuel,,
34,node,439209246,POINT (30.5143178 59.8890128),,cafe,,
35,node,441595399,POINT (30.471654 59.917244),Государственная аптека,pharmacy,,
36,node,441595403,POINT (30.4724255 59.9189957),Евразия,restaurant,,
37,node,441595408,POINT (30.4697531 59.9118054),Продукты,,,convenience
38,node,441597759,POINT (30.4794242 59.9002424),Пятёрочка,,,supermarket
39,node,442002806,POINT (30.5751222 59.815225),,,,car_repair
40,node,442269652,POINT (30.1792148 59.8573855),Магнит,,,supermarket
41,node,442269659,POINT (30.1847402 59.8590975),Пятёрочка,,,supermarket
42,node,442269665,POINT (30.1851831 59.8595731),Сбербанк,bank,,
43,node,442515597,POINT (30.5137657 59.8947048),Ашан,,,supermarket
44,node,442971447,POINT (30.4607617 59.8799689),Диета 18,,,supermarket
45,node,442971495,POINT (30.4592322 59.8755617),Мики,restaurant,,
46,node,442971556,POINT (30.4574083 59.8772638),Санкт-Петербургский театр «Мастерская»,theatre,,
47,node,443212284,POINT (30.468618 59.9119574),Камелот,pub,,
48,node,444551814,POINT (30.1972395 59.8531685),Технолог,,,convenience
49,node,444685619,POINT (30.5114679 59.804386),Продукты,,,convenience
50,node,444776751,POINT (30.3236834 59.9336636),Альфа-Банк,bank,,
51,node,444776757,POINT (30.3570423 59.9255014),Альфа-Банк,bank,,
52,node,444776758,POINT (30.3642134 59.9304882),Wahaha,cafe,,
53,node,444776759,POINT (30.4114121 59.9282464),Альфа-Банк,bank,,
54,node,445388334,POINT (30.6889863 59.8975734),Горка,cafe,,
55,node,445388335,POINT (30.6892413 59.8975971),Минимаркет,,,convenience
56,node,446064734,POINT (30.3469291 59.9180664),,cafe,,
57,node,446064736,POINT (30.3464032 59.9183874),Flat White,cafe,,
58,node,446064740,POINT (30.3487504 59.9179655),Simple Food Cafe,fast_food,,
59,node,446064741,POINT (30.3506741 59.9190975),Branch garage,pub,,
60,node,446064745,POINT (30.3455293 59.9177746),Магнит,,,supermarket
61,node,446198361,POINT (30.4619735 59.8676815),Магнит,,,supermarket
62,node,448494839,POINT (30.4177382 59.7188521),Вера,,,convenience
63,node,448497709,POINT (30.4186712 59.7189639),,pharmacy,,
64,node,449631957,POINT (30.5713301 59.8068048),Сбербанк,bank,,
65,node,451568012,POINT (30.2721628 59.9001486),Вкусно — и точка,fast_food,,
66,node,455268752,POINT (30.3248668 59.9302904),Mendeleev,bar,,
67,node,455274074,POINT (30.3211694 59.9320764),Старгород,restaurant,,
68,node,455297491,POINT (30.3726265 59.930545),Тара Бруч,pub,,
69,node,455298814,POINT (30.3608089 59.9398867),Foggy New,pub,,
70,node,455299275,POINT (30.3601032 59.9374253),Хлебник,,,bakery
71,node,455314487,POINT (30.32492 59.9328715),Тарелка,fast_food,,
72,node,456956561,POINT (30.3429093 59.9277595),The Sizzle,restaurant,,
73,node,459794831,POINT (30.2382299 59.8405961),Первая помощь,pharmacy,,
74,node,459796018,POINT (30.2290658 59.8435617),Первая помощь,pharmacy,,
75,node,459797390,POINT (30.2426742 59.84247),Петербургские аптеки,pharmacy,,
76,node,459809259,POINT (30.2445481 59.8466839),Перекрёсток,,,supermarket
77,node,459964645,POINT (30.2361453 59.8398334),Мини Лента,,,convenience
78,node,463252316,POINT (30.2915751 59.9315611),NowaDays,cafe,,
79,node,463252327,POINT (30.2968131 59.9180657),Азия плов,cafe,,
80,node,463252332,POINT (30.2977114 59.9145793),Mossmoda,,,clothes
81,node,469739698,POINT (30.2290914 59.8582492),Вкусно — и точка,fast_food,,
82,node,469739701,POINT (30.3508779 59.851796),Вкусно — и точка,fast_food,,
83,node,469739704,POINT (30.3393014 59.91947),Вкусно — и точка,fast_food,,
84,node,469751000,POINT (30.3210514 59.9244074),Капуста,fast_food,,
85,node,476808163,POINT (30.1768481 59.8509289),Пятёрочка,,,supermarket
86,node,486557633,POINT (30.3547737 59.9360767),Ливерпуль,pub,,
87,node,486709733,POINT (30.3220903 59.8487909),Coffeeshop Company,cafe,,
88,node,486709871,POINT (30.3222502 59.8490855),Райффайзен,bank,,
89,node,487255525,POINT (30.2957589 59.9266046),Shamrock,pub,,
90,node,487267451,POINT (30.3000892 59.9333689),Строганов Стейк Хаус,restaurant,,
91,node,487268384,POINT (30.2974224 59.9325747),Русская Рюмочная №1,restaurant,,
92,node,487274535,POINT (30.2844056 59.917214),Продукты,,,convenience
93,node,487274925,POINT (30.2893587 59.9178996),РеалЪ,,,supermarket
94,node,489357017,POINT (30.4263014 59.8290147),Прагматика,,,car
95,node,489358354,POINT (30.2828323 59.944544),Сбербанк,bank,,
96,node,489361459,POINT (30.2770784 59.9428555),Сбербанк,bank,,
97,node,490670904,POINT (30.5771521 59.7334049),Семишагофф,,,supermarket
98,node,497695708,POINT (30.3714069 59.9350026),Мисо,restaurant,,
99,node,505073897,POINT (30.3591809 59.8910788),Fit Service,,,car_repair
100,node,505178524,POINT (30.399088 59.8751414),Перекрёсток,pub,,
101,node,505178534,POINT (30.4027146 59.8730112),Ани,cafe,,
102,node,505178535,POINT (30.4028131 59.8730433),,pub,,
103,node,505178543,POINT (30.3988433 59.876155),,bank,,
104,node,505178561,POINT (30.399276 59.8756532),Дикси,,,supermarket
105,node,507091462,POINT (30.3197933 59.9037738),Grand Империал,cafe,,
106,node,510247577,POINT (30.4436667 59.8763468),Здоровые люди,pharmacy,,
107,node,510270596,POINT (30.4619525 59.8677478),,bar,,
108,node,510432203,POINT (30.362681 59.938823),Оба два,restaurant,,
109,node,513352931,POINT (30.4604779 59.906124),Продукты,,,convenience
110,node,517517766,POINT (30.4791166 59.9091262),Munhell,restaurant,,
111,node,518492980,POINT (30.4893328 59.9372476),Озерки,pharmacy,,
112,node,522606825,POINT (30.3914417 59.8727648),Пятёрочка,,,supermarket
113,node,522606826,POINT (30.4021717 59.8733461),Горные вершины,pharmacy,,
114,node,522606827,POINT (30.4060391 59.8711455),Магнит,,,supermarket
115,node,522606830,POINT (30.3987329 59.8755773),,pharmacy,,
116,node,522606978,POINT (30.4124569 59.8669142),,pub,,
117,node,522635680,POINT (30.4133188 59.8655265),Шаверлэнд,fast_food,,
118,node,524598539,POINT (30.3126445 59.8487739),Пятёрочка,,,supermarket
119,node,525359705,POINT (30.3024929 59.9321354),Продукты,,,convenience
120,node,525359854,POINT (30.3042383 59.9326612),Столовая на Почтамтской,cafe,,
121,node,525359952,POINT (30.303888 59.9325587),Вместе,,,convenience
