,start_node,end_node,osmid,maxspeed,highway,surface,lanes,oneway,geometry,name,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s)
0,253283769,219808,path_253283769,,,,,,"LINESTRING (30.319641 59.8236932, 30.3201331 59.8238154)",,,,,,,,,,
1,291553157,219811,path_291553157,,,,,,"LINESTRING (30.3132049 59.9153967, 30.313303 59.9160073)",,,,,,,,,,
2,305809296,219812,path_305809296,,,,,,"LINESTRING (30.2437469 59.6820773, 30.242977 59.6802269)",,,,,,,,,,
3,309764205,219816,path_309764205,,,,,,"LINESTRING (30.4581999 59.9155203, 30.4578029 59.9153889)",,,,,,,,,,
4,311101154,219818,path_311101154,,,,,,"LINESTRING (30.2880157 59.9248514, 30.2870432 59.9244119)",,,,,,,,,,
5,311101157,219819,path_311101157,,,,,,"LINESTRING (30.2891334 59.9247731, 30.2902996 59.9251452)",,,,,,,,,,
6,311101168,219821,path_311101168,,,,,,"LINESTRING (30.2883522 59.9245965, 30.2870432 59.9244119)",,,,,,,,,,
7,316234421,223633,path_316234421,,,,,,"LINESTRING (30.3103753 59.8524649, 30.3083735 59.8522653)",,,,,,,,,,
8,322665153,223634,path_322665153,,,,,,"LINESTRING (30.491876 59.8647781, 30.4889237 59.8650703)",,,,,,,,,,
9,331297939,223647,path_331297939,,,,,,"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)",,,,,,,,,,
10,344762356,223648,path_344762356,,,,,,"LINESTRING (30.3072928 59.8523519, 30.3066147 59.8520112)",,,,,,,,,,
11,392059029,223677,path_392059029,,,,,,"LINESTRING (30.3052363 59.930489, 30.3044225 59.9308906)",,,,,,,,,,
12,394493431,223680,path_394493431,,,,,,"LINESTRING (30.4318676 59.8349989, 30.4307314 59.8358535)",,,,,,,,,,
13,401627284,223683,path_401627284,,,,,,"LINESTRING (30.3754386 59.9136572, 30.3747412 59.9131096)",,,,,,,,,,
14,401627386,223691,path_401627386,,,,,,"LINESTRING (30.3768121 59.9140758, 30.3764172 59.9156691)",,,,,,,,,,
15,411259721,223697,path_411259721,,,,,,"LINESTRING (30.3209147 59.8760945, 30.3207182 59.8759963)",,,,,,,,,,
16,414011338,223698,path_414011338,,,,,,"LINESTRING (30.3631958 59.9385941, 30.3634386 59.9386754)",,,,,,,,,,
17,414689525,223707,path_414689525,,,,,,"LINESTRING (30.3238878 59.9273912, 30.3252026 59.9288558)",,,,,,,,,,
18,427092068,226862,path_427092068,,,,,,"LINESTRING (30.4755116 59.9397604, 30.4761091 59.9403361)",,,,,,,,,,
19,427101772,226863,path_427101772,,,,,,"LINESTRING (30.4792091 59.9438655, 30.4782281 59.9448895)",,,,,,,,,,
20,427144772,230274,path_427144772,,,,,,"LINESTRING (30.4592033 59.9219213, 30.4558078 59.9234463)",,,,,,,,,,
21,427530225,230275,path_427530225,,,,,,"LINESTRING (30.4578285 59.9223035, 30.4558078 59.9234463)",,,,,,,,,,
22,428882376,230320,path_428882376,,,,,,"LINESTRING (30.4836375 59.9368426, 30.4841597 59.9364853)",,,,,,,,,,
23,428882377,230326,path_428882377,,,,,,"LINESTRING (30.4755822 59.9400724, 30.4761091 59.9403361)",,,,,,,,,,
24,428882379,230327,path_428882379,,,,,,"LINESTRING (30.4775021 59.9388014, 30.4765698 59.9393394)",,,,,,,,,,
25,428942365,230334,path_428942365,,,,,,"LINESTRING (30.4753499 59.9393014, 30.4765698 59.9393394)",,,,,,,,,,
26,428942366,230335,path_428942366,,,,,,"LINESTRING (30.4784615 59.9424713, 30.477706 59.9430428)",,,,,,,,,,
27,428970814,230336,path_428970814,,,,,,"LINESTRING (30.4741692 59.9433672, 30.4764476 59.9444406)",,,,,,,,,,
28,429923619,237691,path_429923619,,,,,,"LINESTRING (30.4891133 59.9365111, 30.4883651 59.9361636)",,,,,,,,,,
29,430535263,237693,path_430535263,,,,,,"LINESTRING (30.4741153 59.9477852, 30.4747073 59.9481831)",,,,,,,,,,
30,431100875,237695,path_431100875,,,,,,"LINESTRING (30.4925689 59.8963785, 30.4917722 59.8965604)",,,,,,,,,,
31,431100880,237696,path_431100880,,,,,,"LINESTRING (30.4925224 59.8961396, 30.4917722 59.8965604)",,,,,,,,,,
32,431100882,237697,path_431100882,,,,,,"LINESTRING (30.4925451 59.8962563, 30.4917722 59.8965604)",,,,,,,,,,
33,436839390,237698,path_436839390,,,,,,"LINESTRING (30.5317272 59.8300898, 30.5320953 59.8294995)",,,,,,,,,,
34,439209246,237699,path_439209246,,,,,,"LINESTRING (30.5143178 59.8890128, 30.5139246 59.8895189)",,,,,,,,,,
35,441595399,237701,path_441595399,,,,,,"LINESTRING (30.471654 59.917244, 30.471473 59.91889)",,,,,,,,,,
36,441595403,237711,path_441595403,,,,,,"LINESTRING (30.4724255 59.9189957, 30.471473 59.91889)",,,,,,,,,,
37,441595408,237712,path_441595408,,,,,,"LINESTRING (30.4697531 59.9118054, 30.4702587 59.911682)",,,,,,,,,,
38,441597759,237733,path_441597759,,,,,,"LINESTRING (30.4794242 59.9002424, 30.4749889 59.8970252)",,,,,,,,,,
39,442002806,237754,path_442002806,,,,,,"LINESTRING (30.5751222 59.815225, 30.5753926 59.8156536)",,,,,,,,,,
40,442269652,237764,path_442269652,,,,,,"LINESTRING (30.1792148 59.8573855, 30.1776747 59.8590759)",,,,,,,,,,
41,442269659,237765,path_442269659,,,,,,"LINESTRING (30.1847402 59.8590975, 30.1870092 59.8572978)",,,,,,,,,,
42,442269665,237768,path_442269665,,,,,,"LINESTRING (30.1851831 59.8595731, 30.1870092 59.8572978)",,,,,,,,,,
43,442515597,237783,path_442515597,,,,,,"LINESTRING (30.5137657 59.8947048, 30.5132765 59.8970532)",,,,,,,,,,
44,442971447,237784,path_442971447,,,,,,"LINESTRING (30.4607617 59.8799689, 30.4609725 59.8798962)",,,,,,,,,,
45,442971495,237800,path_442971495,,,,,,"LINESTRING (30.4592322 59.8755617, 30.4591877 59.8791042)",,,,,,,,,,
46,442971556,237801,path_442971556,,,,,,"LINESTRING (30.4574083 59.8772638, 30.4562721 59.8777634)",,,,,,,,,,
47,443212284,237803,path_443212284,,,,,,"LINESTRING (30.468618 59.9119574, 30.4685675 59.9112828)",,,,,,,,,,
48,444551814,244266,path_444551814,,,,,,"LINESTRING (30.1972395 59.8531685, 30.1965451 59.8530724)",,,,,,,,,,
49,444685619,244267,path_444685619,,,,,,"LINESTRING (30.5114679 59.804386, 30.5120956 59.8042625)",,,,,,,,,,
50,444776751,244271,path_444776751,,,,,,"LINESTRING (30.3236834 59.9336636, 30.3231414 59.9339367)",,,,,,,,,,
51,444776757,244274,path_444776757,,,,,,"LINESTRING (30.3570423 59.9255014, 30.3580546 59.92661)",,,,,,,,,,
