,id,y,x,street_count,lat,lon,geometry,highway,name,ref,zone
0,253283769,59.8236932,30.319641,,59.8236932,30.319641,POINT (30.319641 59.8236932),,Газпромнефть,,84
1,291553157,59.9153967,30.3132049,,59.9153967,30.3132049,POINT (30.3132049 59.9153967),,Контакт Бар,,45
2,305809296,59.6820773,30.2437469,,59.6820773,30.2437469,POINT (30.2437469 59.6820773),,Газпромнефть,,10
3,309764205,59.9155203,30.4581999,,59.9155203,30.4581999,POINT (30.4581999 59.9155203),,Радуга,,29
4,311101154,59.9248514,30.2880157,,59.9248514,30.2880157,POINT (30.2880157 59.9248514),,У театра,,43
5,311101157,59.9247731,30.2891334,,59.9247731,30.2891334,POINT (30.2891334 59.9247731),,Wonderful Taste,,43
6,311101168,59.9245965,30.2883522,,59.9245965,30.2883522,POINT (30.2883522 59.9245965),,Витал,,43
7,316234421,59.8524649,30.3103753,,59.8524649,30.3103753,POINT (30.3103753 59.8524649),,Авангард,,82
8,322665153,59.8647781,30.491876,,59.8647781,30.491876,POINT (30.491876 59.8647781),,Роснефть,,23
9,331297939,59.6934373,30.1792749,,59.6934373,30.1792749,POINT (30.1792749 59.6934373),,Туутари-парк,,117
10,344762356,59.8523519,30.3072928,,59.8523519,30.3072928,POINT (30.3072928 59.8523519),,Ленинградские булочные,,82
11,392059029,59.930489,30.3052363,,59.930489,30.3052363,POINT (30.3052363 59.930489),,Адамант Медицинская Клиника,,47
12,394493431,59.8349989,30.4318676,,59.8349989,30.4318676,POINT (30.4318676 59.8349989),,,,93
13,401627284,59.9136572,30.3754386,,59.9136572,30.3754386,POINT (30.3754386 59.9136572),,Динер холл,,22
14,401627386,59.9140758,30.3768121,,59.9140758,30.3768121,POINT (30.3768121 59.9140758),,Амилен,,22
15,411259721,59.8760945,30.3209147,,59.8760945,30.3209147,POINT (30.3209147 59.8760945),,ВТБ,,6
16,414011338,59.9385941,30.3631958,,59.9385941,30.3631958,POINT (30.3631958 59.9385941),,The Templet Bar,,97
17,414689525,59.9273912,30.3238878,,59.9273912,30.3238878,POINT (30.3238878 59.9273912),,Bier König,,102
18,427092068,59.9397604,30.4755116,,59.9397604,30.4755116,POINT (30.4755116 59.9397604),,Васаби,,79
19,427101772,59.9438655,30.4792091,,59.9438655,30.4792091,POINT (30.4792091 59.9438655),,Пури,,79
20,427144772,59.9219213,30.4592033,,59.9219213,30.4592033,POINT (30.4592033 59.9219213),,Авангард,,28
21,427530225,59.9223035,30.4578285,,59.9223035,30.4578285,POINT (30.4578285 59.9223035),,Сбербанк,,28
22,428882376,59.9368426,30.4836375,,59.9368426,30.4836375,POINT (30.4836375 59.9368426),,Пятёрочка,,79
