name_1,geometry
Газпромнефть,"LINESTRING (30.319641 59.8236932, 30.320138495066985 59.8237219087853)"
Газпромнефть,"LINESTRING (30.319641 59.8236932, 30.320138495066985 59.8237219087853)"
Контакт Бар,"LINESTRING (30.3132049 59.9153967, 30.313206693207245 59.915282763013884)"
Газпромнефть,"LINESTRING (30.2437469 59.6820773, 30.244298707702097 59.681508002444595)"
Радуга,"LINESTRING (30.4581999 59.9155203, 30.457924085379666 59.91526032908225)"
У театра,"LINESTRING (30.2880157 59.9248514, 30.288037931679174 59.9247532611976)"
Wonderful Taste,"LINESTRING (30.2891334 59.9247731, 30.28910993491699 59.924877302504186)"
Витал,"LINESTRING (30.2883522 59.9245965, 30.2883285883948 59.92470135317219)"
Туутари-парк,"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)"
Туутари-парк,"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)"
Туутари-парк,"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)"
Туутари-парк,"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)"
Адамант Медицинская Клиника,"LINESTRING (30.3052363 59.930489, 30.305201890256036 59.930653092053596)"
The Templet Bar,"LINESTRING (30.3631958 59.9385941, 30.363197583392385 59.93868038167412)"
Пури,"LINESTRING (30.4792091 59.9438655, 30.479184789988288 59.94491172948704)"
Пятёрочка,"LINESTRING (30.4836375 59.9368426, 30.483613112489518 59.93652761983511)"
Озерки,"LINESTRING (30.4775021 59.9388014, 30.47649907271989 59.93910807769368)"
Озерки,"LINESTRING (30.4775021 59.9388014, 30.47649907271989 59.93910807769368)"
FOSP,"LINESTRING (30.4741692 59.9433672, 30.47405179639886 59.94382161440216)"
FOSP,"LINESTRING (30.4741692 59.9433672, 30.47405179639886 59.94382161440216)"
Сбербанк,"LINESTRING (30.4741153 59.9477852, 30.47421018369233 59.94742606773076)"
,"LINESTRING (30.4925689 59.8963785, 30.492575594097133 59.89652324502185)"
,"LINESTRING (30.4925224 59.8961396, 30.49254021829067 59.896524881064884)"
,"LINESTRING (30.4925224 59.8961396, 30.49254021829067 59.896524881064884)"
Автомойка,"LINESTRING (30.4925451 59.8962563, 30.492557484276972 59.89652408255598)"
Автомойка,"LINESTRING (30.4925451 59.8962563, 30.492557484276972 59.89652408255598)"
ПТК,"LINESTRING (30.5317272 59.8300898, 30.531572221221104 59.82987241510839)"
Государственная аптека,"LINESTRING (30.471654 59.917244, 30.472207773746334 59.91776134881727)"
Евразия,"LINESTRING (30.4724255 59.9189957, 30.47186399034718 59.918471322719135)"
Евразия,"LINESTRING (30.4724255 59.9189957, 30.47186399034718 59.918471322719135)"
Продукты,"LINESTRING (30.4697531 59.9118054, 30.469807374692838 59.91157546673213)"
Пятёрочка,"LINESTRING (30.4794242 59.9002424, 30.479306698465063 59.90073994780921)"
Пятёрочка,"LINESTRING (30.4794242 59.9002424, 30.479306698465063 59.90073994780921)"
Ашан,"LINESTRING (30.5137657 59.8947048, 30.513574228199953 59.895444088227435)"
Ашан,"LINESTRING (30.5137657 59.8947048, 30.513574228199953 59.895444088227435)"
Диета 18,"LINESTRING (30.4607617 59.8799689, 30.460755627525455 59.87993045956482)"
Камелот,"LINESTRING (30.468618 59.9119574, 30.468766167017716 59.91132969443796)"
Технолог,"LINESTRING (30.1972395 59.8531685, 30.19718304700522 59.852924687844684)"
Продукты,"LINESTRING (30.5114679 59.804386, 30.51159544718756 59.804584261821034)"
Продукты,"LINESTRING (30.5114679 59.804386, 30.51159544718756 59.804584261821034)"
Альфа-Банк,"LINESTRING (30.3236834 59.9336636, 30.323714149919837 59.9338323041347)"
Альфа-Банк,"LINESTRING (30.3236834 59.9336636, 30.323714149919837 59.9338323041347)"
Альфа-Банк,"LINESTRING (30.3570423 59.9255014, 30.35722683335396 59.92537746770537)"
Альфа-Банк,"LINESTRING (30.4114121 59.9282464, 30.41151008035444 59.928658177383475)"
Горка,"LINESTRING (30.6889863 59.8975734, 30.6629963 59.7854536)"
Горка,"LINESTRING (30.6889863 59.8975734, 30.6629963 59.7854536)"
Минимаркет,"LINESTRING (30.6892413 59.8975971, 30.6629963 59.7854536)"
Минимаркет,"LINESTRING (30.6892413 59.8975971, 30.6629963 59.7854536)"
,"LINESTRING (30.3469291 59.9180664, 30.347032848897324 59.91782573145066)"
Simple Food Cafe,"LINESTRING (30.3487504 59.9179655, 30.34894718128805 59.917839801492434)"
Branch garage,"LINESTRING (30.3506741 59.9190975, 30.35058328440797 59.91932575532575)"
Магнит,"LINESTRING (30.3455293 59.9177746, 30.345753270750677 59.917635245413905)"
Вера,"LINESTRING (30.4177382 59.7188521, 30.417950591813938 59.71857194353626)"
,"LINESTRING (30.4186712 59.7189639, 30.418596892303917 59.719061915930915)"
Сбербанк,"LINESTRING (30.5713301 59.8068048, 30.571468833651814 59.806598472729966)"
Вкусно — и точка,"LINESTRING (30.2721628 59.9001486, 30.27240336859157 59.89926398995824)"
Вкусно — и точка,"LINESTRING (30.2721628 59.9001486, 30.27240336859157 59.89926398995824)"
Старгород,"LINESTRING (30.3211694 59.9320764, 30.32097167474516 59.93240163942616)"
Тара Бруч,"LINESTRING (30.3726265 59.930545, 30.372587020995073 59.930427142949625)"
Foggy New,"LINESTRING (30.3608089 59.9398867, 30.360511468142814 59.93990516373646)"
Foggy New,"LINESTRING (30.3608089 59.9398867, 30.360511468142814 59.93990516373646)"
Хлебник,"LINESTRING (30.3601032 59.9374253, 30.360101640605457 59.937311811212275)"
Хлебник,"LINESTRING (30.3601032 59.9374253, 30.360101640605457 59.937311811212275)"
Тарелка,"LINESTRING (30.32492 59.9328715, 30.324914961159557 59.932884427963714)"
Первая помощь,"LINESTRING (30.2382299 59.8405961, 30.238071452193225 59.840330097276194)"
Первая помощь,"LINESTRING (30.2290658 59.8435617, 30.23093445313272 59.84576922500222)"
Перекрёсток,"LINESTRING (30.2445481 59.8466839, 30.244768977138705 59.847070579925266)"
Мини Лента,"LINESTRING (30.2361453 59.8398334, 30.236275387284913 59.83946710816322)"
Мини Лента,"LINESTRING (30.2361453 59.8398334, 30.236275387284913 59.83946710816322)"
Азия плов,"LINESTRING (30.2968131 59.9180657, 30.29670622573886 59.91797153861837)"
Mossmoda,"LINESTRING (30.2977114 59.9145793, 30.297550276181973 59.914568374795245)"
Вкусно — и точка,"LINESTRING (30.2290914 59.8582492, 30.22958347382436 59.85752116933241)"
Капуста,"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)"
Капуста,"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)"
