field_1,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"0",node,"253283769",Газпромнефть,fuel,,,"84","9151","1297245337","253283799",,,"2","[ ""unclassified"" ]","[ ""asphalt"" ]","0","[ ""Пулковское шоссе"" ]",,,,357.398,0.357398,"1800","60",0.00595663333333333,21.44388,0.000498322722768006
"0",node,"253283769",Газпромнефть,fuel,,,"84","3240","253283799","1297245337",,,"2","[ ""unclassified"" ]","[ ""asphalt"" ]","0","[ ""Пулковское шоссе"" ]",,,,357.398,0.357398,"1800","60",0.00595663333333333,21.44388,0.000498322722768006
"1",node,"291553157",Контакт Бар,bar,,,"45","1370","21991393","21991392",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""2-я Красноармейская улица"" ]",,,,227.843,0.227843,"3600","60",0.00379738333333333,13.67058,0.000113951096518837
"2",node,"305809296",Газпромнефть,fuel,,,"10","6768","916023599","916023528",,,"3","[ ""trunk"" ]","[ ""asphalt"" ]","1","[ ""Киевское шоссе"" ]",,,,611.133,0.611133,"4000","90",0.00679036666666667,24.44532,0.000792837591619801
"3",node,"309764205",Радуга,pharmacy,,,"29","25216","10242771155","10242771189",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Искровский проспект"" ]",,,,156.717,0.156717,"3600","60",0.00261195,9.40302,0.000379023195680339
"4",node,"311101154",У театра,pharmacy,,,"43","19027","4112024620","4112024596",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""улица Декабристов"" ]",,,,259.291,0.259291,"4000","60",0.00432151666666667,15.55746,0.00010062540482143
"5",node,"311101157",Wonderful Taste,cafe,,,"43","19021","4112024600","4112024616",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""улица Декабристов"" ]",,,,198.937,0.198937,"4000","60",0.00331561666666667,11.93622,0.000106811853268446
"6",node,"311101168",Витал,pharmacy,,,"43","19021","4112024600","4112024616",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""улица Декабристов"" ]",,,,198.937,0.198937,"4000","60",0.00331561666666667,11.93622,0.000107478814741018
"9",node,"331297939",Туутари-парк,cafe,,,"117","9270","1361223294","1361223255",,,"1","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Большая Горская улица"" ]",,,,595.443,0.595443,"1800","60",0.00992405,35.72658,0.0424177301573295
"9",node,"331297939",Туутари-парк,cafe,,,"117","9261","1361223255","1361223294",,,"1","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Большая Горская улица"" ]",,,,595.443,0.595443,"1800","60",0.00992405,35.72658,0.0424177301573295
"9",node,"331297939",Туутари-парк,cafe,,,"117","9260","1361223255","673158285",,,"1","[ ""residential"" ]",,"0","[ ""Советская улица"" ]",,,,120.989,0.120989,"1800","20",0.00604945,21.77802,0.0424177301573295
"9",node,"331297939",Туутари-парк,cafe,,,"117","5819","673158285","1361223255",,,"1","[ ""residential"" ]",,"0","[ ""Советская улица"" ]",,,,120.989,0.120989,"1800","20",0.00604945,21.77802,0.0424177301573295
"11",node,"392059029",Адамант Медицинская Клиника,doctors,,,"47","11630","1605127128","1634103262",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""набережная реки Мойки"" ]",,,,255.267,0.255267,"1800","60",0.00425445,15.31602,0.00016766106445044
"16",node,"414011338",The Templet Bar,pub,,,"97","24390","10180391213","10180535020",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Некрасова"" ]","[ ""excellent"" ]",,,167.236,0.167236,"3600","60",0.00278726666666667,10.03416,8.63001029920526e-05
"19",node,"427101772",Пури,restaurant,,,"79","11442","1581769085","1581769092",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""проспект Косыгина"" ]",,,,155.77,0.15577,"4000","60",0.00259616666666667,9.3462,0.00104651188059046
"22",node,"428882376",Пятёрочка,,,supermarket,"79","24240","10097960125","10097960126",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Хасанская улица"" ]",,,,123.395,0.123395,"3600","60",0.00205658333333333,7.4037,0.00031592286232562
"24",node,"428882379",Озерки,pharmacy,,,"79","1810","26052985","26052968",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Индустриальный проспект"" ]","[ ""excellent"" ]",,,171.707,0.171707,"4000","60",0.00286178333333333,10.30242,0.00104886363863201
"24",node,"428882379",Озерки,pharmacy,,,"79","1811","26052985","26052968",,,"1","[ ""unclassified"" ]","[ ""asphalt"" ]","1",,,,,190.761,0.190761,"1800","60",0.00317935,11.44566,0.00104886363863201
"27",node,"428970814",FOSP,,,clothes,"79","11437","1581768943","1581768945",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,549.297,0.549297,"1800","60",0.00915495,32.95782,0.000469335758763237
"27",node,"428970814",FOSP,,,clothes,"79","11436","1581768943","1581768945",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""проспект Косыгина"" ]",,,,533.368,0.533368,"4000","60",0.00888946666666667,32.00208,0.000469335758763237
"29",node,"430535263",Сбербанк,bank,,,"79","24861","10240304080","10240304086",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""проспект Энтузиастов"" ]",,,,121.796,0.121796,"3600","60",0.00202993333333333,7.30776,0.000371455114217245
"30",node,"431100875",,cafe,,,"24","3914","309950265","309950267",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Кудровский проезд"" ]",,,,191.536,0.191536,"1800","60",0.00319226666666667,11.49216,0.000144899731837514
"31",node,"431100880",,,,car_repair,"24","3916","309950267","309950265",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Кудровский проезд"" ]",,,,191.536,0.191536,"1800","60",0.00319226666666667,11.49216,0.000385692870614171
"31",node,"431100880",,,,car_repair,"24","3914","309950265","309950267",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Кудровский проезд"" ]",,,,191.536,0.191536,"1800","60",0.00319226666666667,11.49216,0.000385692870614171
