geometry,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"LINESTRING (30.319641 59.8236932, 30.320138495066985 59.8237219087853)",node,253283769,Газпромнефть,fuel,,,84.0,9151,1297245337,253283799,,,2,"[ ""unclassified"" ]","[ ""asphalt"" ]",0,"[ ""Пулковское шоссе"" ]",,,,357.398,0.357398,1800,60,0.0059566333333333,21.44388,0.000498322722768
"LINESTRING (30.319641 59.8236932, 30.320138495066985 59.8237219087853)",node,253283769,Газпромнефть,fuel,,,84.0,3240,253283799,1297245337,,,2,"[ ""unclassified"" ]","[ ""asphalt"" ]",0,"[ ""Пулковское шоссе"" ]",,,,357.398,0.357398,1800,60,0.0059566333333333,21.44388,0.000498322722768
"LINESTRING (30.3132049 59.9153967, 30.313206693207245 59.915282763013884)",node,291553157,Контакт Бар,bar,,,45.0,1370,21991393,21991392,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""2-я Красноармейская улица"" ]",,,,227.843,0.227843,3600,60,0.0037973833333333,13.67058,0.0001139510965188
"LINESTRING (30.2437469 59.6820773, 30.244298707702097 59.681508002444595)",node,305809296,Газпромнефть,fuel,,,10.0,6768,916023599,916023528,,,3,"[ ""trunk"" ]","[ ""asphalt"" ]",1,"[ ""Киевское шоссе"" ]",,,,611.133,0.611133,4000,90,0.0067903666666666,24.44532,0.0007928375916198
"LINESTRING (30.4581999 59.9155203, 30.457924085379666 59.91526032908225)",node,309764205,Радуга,pharmacy,,,29.0,25216,10242771155,10242771189,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""Искровский проспект"" ]",,,,156.717,0.156717,3600,60,0.00261195,9.40302,0.0003790231956803
"LINESTRING (30.2880157 59.9248514, 30.288037931679174 59.9247532611976)",node,311101154,У театра,pharmacy,,,43.0,19027,4112024620,4112024596,,,3,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""улица Декабристов"" ]",,,,259.291,0.259291,4000,60,0.0043215166666666,15.55746,0.0001006254048214
"LINESTRING (30.2891334 59.9247731, 30.28910993491699 59.924877302504186)",node,311101157,Wonderful Taste,cafe,,,43.0,19021,4112024600,4112024616,,,3,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""улица Декабристов"" ]",,,,198.937,0.198937,4000,60,0.0033156166666666,11.93622,0.0001068118532684
"LINESTRING (30.2883522 59.9245965, 30.2883285883948 59.92470135317219)",node,311101168,Витал,pharmacy,,,43.0,19021,4112024600,4112024616,,,3,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""улица Декабристов"" ]",,,,198.937,0.198937,4000,60,0.0033156166666666,11.93622,0.000107478814741
"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)",node,331297939,Туутари-парк,cafe,,,117.0,9270,1361223294,1361223255,,,1,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Большая Горская улица"" ]",,,,595.443,0.595443,1800,60,0.00992405,35.72658,0.0424177301573295
"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)",node,331297939,Туутари-парк,cafe,,,117.0,9261,1361223255,1361223294,,,1,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Большая Горская улица"" ]",,,,595.443,0.595443,1800,60,0.00992405,35.72658,0.0424177301573295
"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)",node,331297939,Туутари-парк,cafe,,,117.0,9260,1361223255,673158285,,,1,"[ ""residential"" ]",,0,"[ ""Советская улица"" ]",,,,120.989,0.120989,1800,20,0.00604945,21.77802,0.0424177301573295
"LINESTRING (30.1792749 59.6934373, 30.1374398 59.7004436)",node,331297939,Туутари-парк,cafe,,,117.0,5819,673158285,1361223255,,,1,"[ ""residential"" ]",,0,"[ ""Советская улица"" ]",,,,120.989,0.120989,1800,20,0.00604945,21.77802,0.0424177301573295
"LINESTRING (30.3052363 59.930489, 30.305201890256036 59.930653092053596)",node,392059029,Адамант Медицинская Клиника,doctors,,,47.0,11630,1605127128,1634103262,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""набережная реки Мойки"" ]",,,,255.267,0.255267,1800,60,0.00425445,15.31602,0.0001676610644504
